0	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
41	What does Ahab carry in his pocket?	Vial of Nantucket sand	103
103	0.38077	When Ahab and Starbuck talk about their families, how does Ahab see himself on his relentless quest?	A pathetic fool(Correct)	
 42	0.32493	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	106
 53	0.25233	What does Ishmael have tattooed on his forearm?	The dimensions of a whale	
 62	0.25233	What does the scar on Ahab's cheek resemble?	A lightning bolt	
105	0.23363	When Ahab has the blacksmith make a special harpoon for Moby Dick, what does Ahab give him for the metal?	Nails from racehorse shoes	
 44	0.22576	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	
 47	0.22576	What does Fedallah prophesize will kill Captain Ahab?	Hemp	

42	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	106 106	0.37491	When Ahab insists on climbing the mast to be the first to see Moby Dick, what happens to his hat?	A hawk steals it	

43	What does Ahab promise to the first man who spots Moby Dick?	A gold doubloon	42	0.26050	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	106

44	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	47	0.33610	What does Fedallah prophesize will kill Captain Ahab?	Hemp	

45	What does Ahab see when he studies the gold doubloon nailed to the mast?	Himself	42	0.26050	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	106

46	What does Captain Boomer want to do since Moby Dick took his arm?	Avoid Moby Dick	138	0.33518	Who is Captain Boomer?	One-armed English whaling captain; master of the Samuel Enderby	

47	What does Fedallah prophesize will kill Captain Ahab?	Hemp	44	0.33610	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	

48	What does Ishmael call the mysterious spout of water that leads the crew onward, but never turns into a whale?	Spirt-spout	
175	0.35630	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
 50	0.27740	What does Ishmael claim is the most famous part of a whale?	Its tail	
 59	0.24479	What does the crew look for to indicate the presence of a whale?	Spouts	
122	0.24479	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
147	0.23077	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 52	0.22150	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
 49	0.20380	What does Ishmael claim is the major difference between male and female whales?	Males abandon injured comrades	

49	What does Ishmael claim is the major difference between male and female whales?	Males abandon injured comrades	
 50	0.47433	What does Ishmael claim is the most famous part of a whale?	Its tail	
122	0.27983	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
175	0.27983	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
147	0.25970	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 52	0.25321	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
121	0.23298	Where does Ishmael keep a record of whale dimensions that he measured from a skeleton in Tranque?	Tattooed on his arm	
171	0.21693	Why does Ishmael claim that Nantucket has the largest empire in the world?	It owns the seas	

50	What does Ishmael claim is the most famous part of a whale?	Its tail	
 49	0.47433	What does Ishmael claim is the major difference between male and female whales?	Males abandon injured comrades	
122	0.38087	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
175	0.38087	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
 52	0.34464	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
121	0.31711	Where does Ishmael keep a record of whale dimensions that he measured from a skeleton in Tranque?	Tattooed on his arm	
171	0.29527	Why does Ishmael claim that Nantucket has the largest empire in the world?	It owns the seas	

51	What does Ishmael compare to the huge case of high-quality oil in a sperm whale's head?	A massive wine barrel	
 50	0.27740	What does Ishmael claim is the most famous part of a whale?	Its tail	
175	0.24479	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
122	0.24479	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
  0	0.23079	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
147	0.23077	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 52	0.22150	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
 24	0.20883	Ishmael likens the right whale to a stoic philosopher and the sperm whale to what other kind of philosopher? 	Platonic	0

52	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
 50	0.34464	What does Ishmael claim is the most famous part of a whale?	Its tail	
175	0.30413	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
122	0.30413	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
 12	0.29107	For what were whales primarily hunted?	Oil	98
 98	0.29107	What type of whale are they hunting?	Sperm whales	
147	0.27894	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 25	0.27520	Ishmael reflects that traveling around the world to hunt whales really amounts to what?	Going in circles	12

53	What does Ishmael have tattooed on his forearm?	The dimensions of a whale	
147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 22	0.25233	In what state does Ishmael meet Queequeg?	Massachusetts	4
 41	0.25233	What does Ahab carry in his pocket?	Vial of Nantucket sand	103
 50	0.25233	What does Ishmael claim is the most famous part of a whale?	Its tail	
 55	0.25233	What does Ishmael use as a life buoy?	Queequeg's coffin	
180	0.25233	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22
175	0.22576	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174

54	What does Ishmael think men and animals should be judged on, rather than their brains?	Their spines	
 38	0.36802	What color does Ishmael think is horrible, unnatural and threatening when on an animal?	White	175
175	0.30413	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
147	0.27894	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
174	0.25321	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
173	0.25321	Why does Ishmael think that he doesn't keep a very good watch?	He daydreams too much	174
104	0.23577	When Ahab bursts into fits of near-mad shrieking, what does Ishmael think is the cause?	His soul attempting escape	
 22	0.20614	In what state does Ishmael meet Queequeg?	Massachusetts	4

55	What does Ishmael use as a life buoy?	Queequeg's coffin	
147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 22	0.25233	In what state does Ishmael meet Queequeg?	Massachusetts	4
 50	0.25233	What does Ishmael claim is the most famous part of a whale?	Its tail	
 53	0.25233	What does Ishmael have tattooed on his forearm?	The dimensions of a whale	
180	0.25233	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22
175	0.22576	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
122	0.22576	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	

56	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	
 90	0.29122	What is the study of whales called?	Cetology	
 50	0.27627	What does Ishmael claim is the most famous part of a whale?	Its tail	
175	0.24718	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
 59	0.24718	What does the crew look for to indicate the presence of a whale?	Spouts	
122	0.24718	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
152	0.23077	Who is Pip?	The cabin boy on the Pequod. He is a young Negro who is very nervous and quiet by temperament and loses his mind when he has been abandoned in the sea for awhile.  He becomes half idiot-half prophet.	
  0	0.22576	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94

57	What does Queequeg do when the bumpkin that was mocking him falls into the ocean?	Dives in after him	
111	0.40735	When Queequeg falls ill, what does he do?	Have his coffin made	
 16	0.29107	How does Queequeg shave?	With a harpoon	178
178	0.29107	With what does Queequeg sleep?	His harpoon	16
153	0.27894	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
 22	0.20614	In what state does Ishmael meet Queequeg?	Massachusetts	4
100	0.20614	What was Queequeg on his home island?	A prince	
 15	0.16840	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16

58	What does the Delight drop into the water as the Pequod passes by?	A dead body	
 17	0.31878	How does the Pequod sink?	She is rammed by Moby Dick. 	92
 76	0.30322	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.30322	Who owns the Pequod?	Bildad and Peleg	
115	0.26056	When does the Pequod set sail?	Christmas Day	
 15	0.18443	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16
179	0.17579	With what is the Pequod adorned?	Sperm whale teeth	18
 18	0.17579	How is the Pequod decorated?	With whale bones	179

59	What does the crew look for to indicate the presence of a whale?	Spouts	
 56	0.24718	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	
 48	0.24479	What does Ishmael call the mysterious spout of water that leads the crew onward, but never turns into a whale?	Spirt-spout	
 50	0.22576	What does Ishmael claim is the most famous part of a whale?	Its tail	
175	0.20199	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
 40	0.20199	What do the crew find in an old, blind, growth-covered whale that they kill?	A stone harpoon head	59
122	0.20199	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
 15	0.18443	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16

60	What does the milk taste like on Nantucket?	Fish	
171	0.17857	Why does Ishmael claim that Nantucket has the largest empire in the world?	It owns the seas	
178	0.15064	With what does Queequeg sleep?	His harpoon	16
 16	0.15064	How does Queequeg shave?	With a harpoon	178
 17	0.15064	How does the Pequod sink?	She is rammed by Moby Dick. 	92
111	0.12736	When Queequeg falls ill, what does he do?	Have his coffin made	
115	0.12736	When does the Pequod set sail?	Christmas Day	
 22	0.11234	In what state does Ishmael meet Queequeg?	Massachusetts	4

61	What does the mincer wear when slicing pieces of blubber for the pots?	A whale-penis pelt	
178	0.12537	With what does Queequeg sleep?	His harpoon	16
 16	0.12537	How does Queequeg shave?	With a harpoon	178
 17	0.12537	How does the Pequod sink?	She is rammed by Moby Dick. 	92
111	0.10599	When Queequeg falls ill, what does he do?	Have his coffin made	
115	0.10599	When does the Pequod set sail?	Christmas Day	
 22	0.09349	In what state does Ishmael meet Queequeg?	Massachusetts	4
 41	0.09349	What does Ahab carry in his pocket?	Vial of Nantucket sand	103

62	What does the scar on Ahab's cheek resemble?	A lightning bolt	
103	0.25958	When Ahab and Starbuck talk about their families, how does Ahab see himself on his relentless quest?	A pathetic fool(Correct)	
 41	0.25233	What does Ahab carry in his pocket?	Vial of Nantucket sand	103
105	0.23363	When Ahab has the blacksmith make a special harpoon for Moby Dick, what does Ahab give him for the metal?	Nails from racehorse shoes	
 44	0.22576	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	
 47	0.22576	What does Fedallah prophesize will kill Captain Ahab?	Hemp	
108	0.22576	When Ahab realizes that smoking no longer soothes him, what does he do?	Throws his pipe overboard	
112	0.22327	When Starbuck confronts Ahab about leaking oil barrels that are costing the crew profit, how does Ahab respond?	Points a gun at Starbuck	

63	What experience catalyzed Pip and Ahab's close companionship?	Pip's near-drowning	
  9	0.34064	Because Pip's insane rantings move Ahab, Ahab gives Pip what?	The captain's quarters	63
152	0.30322	Who is Pip?	The cabin boy on the Pequod. He is a young Negro who is very nervous and quiet by temperament and loses his mind when he has been abandoned in the sea for awhile.  He becomes half idiot-half prophet.	
  7	0.17579	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 79	0.17579	What is the name of Ahab's harpooner?	Fedallah	
 80	0.17579	What is the name of Ahab's ship?	The Pequod	
 81	0.17579	What is the name of Ahab's wife?	She is nameless	
137	0.17579	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	

64	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
149	0.57974	Who is Moby Dick?	A giant and elusive white sperm whale. He serves as Captain Ahab's antagonist in the novel. Ahab's goal in life is to kill Moby Dick for having bitten off his leg.	
147	0.37998	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 78	0.33610	What is the famous first line of Moby Dick?	Call me Ishmael.	
125	0.26056	Which body part has Ahab lost to Moby Dick?	His leg	
 19	0.23790	How many of the Pequod's crew survive their encounter with Moby Dick?	One	128
 43	0.23790	What does Ahab promise to the first man who spots Moby Dick?	A gold doubloon	
107	0.23790	When Ahab realizes that Moby Dick is now chasing him, what does he say?	That's bad	

65	What happens to Ahab's fake leg during his fight with Moby Dick?	It's snapped off	
 99	0.38756	What was Ahab using to attack Moby Dick when he lost his leg?	A knife	
106	0.38756	When Ahab insists on climbing the mast to be the first to see Moby Dick, what happens to his hat?	A hawk steals it	
149	0.35548	Who is Moby Dick?	A giant and elusive white sperm whale. He serves as Captain Ahab's antagonist in the novel. Ahab's goal in life is to kill Moby Dick for having bitten off his leg.	
 42	0.29411	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	106
125	0.26056	Which body part has Ahab lost to Moby Dick?	His leg	
 13	0.25214	From what is Ahab's false leg made?	A whale's jawbone	68
 43	0.23577	What does Ahab promise to the first man who spots Moby Dick?	A gold doubloon	

66	What is "brit"?	Tiny sea creatures that whales eat	182	What do whales eat?	Plankton and other brit.

67	What is Ahab's single fatal flaw?	Hubris	89	0.60297	What is the source of Ahab's fatal flaw?	The damage he's suffered	

68	What is Captain Ahab's artificial leg made of?	Ivory	
137	0.57974	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
 13	0.41121	From what is Ahab's false leg made?	A whale's jawbone	68
 47	0.26056	What does Fedallah prophesize will kill Captain Ahab?	Hemp	
  7	0.22029	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
139	0.22029	Who is Captain Peleg?	Retired whaleman of Nantucket.  Former chief-mate and later co-owner of the ship Pequod. He is an imposing, short- tempered, and foul-mouthed man.  Bildad and Peleg hire the crew.	
138	0.22029	Who is Captain Boomer?	One-armed English whaling captain; master of the Samuel Enderby	
 79	0.22029	What is the name of Ahab's harpooner?	Fedallah	

69	What is Fedallah's turban made of?	His own hair	
 27	1.00000	Out of what is Fedallah's turban made?	His hair	69
143	0.57974	Who is Fedallah?	Strange, "oriental" old Parsee; Ahab's harpooner and personal prophet	
 44	0.17579	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	
 47	0.17579	What does Fedallah prophesize will kill Captain Ahab?	Hemp	
  0	0.12160	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94

70	What is Flask's nickname?	King-Post	144
144	0.57974	Who is Flask?	Third mate of the Pequod; from Martha's Vineyard	70

71	What is Ishmael constantly trying to pin down throughout the novel?	The essence of whales	
147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 88	0.25233	What is the ship that rescues Ishmael at the end of the novel?	Rachel	
159	0.15064	Who is telling the story in the novel?	Ishmael	71
 64	0.12736	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
 82	0.12736	What is the name of Ishmael's unlikely roommate and bedfellow?	Queequeg	
 92	0.12736	What keeps Ishmael afloat after the Pequod sinks?	A coffin	
 14	0.11234	How do live whales smell, according to Ishmael?	Pleasantly musky	2

72	What is a "gam"?	A social meeting of two, or more, whaling ships at sea	

73	What is a "specksynder"?	Chief Harpooner	34
 34	0.27894	There once was a time when the "specksynder" or chief harpooner served as what?	The captain of the vessel	73

74	What is cetology?	The study of whales	

75	What is the "doubloon" offered for?	The first man to spot Moby Dick	
169	0.26056	Who wins the doubloon from the mast?	Ahab	
 29	0.19431	Pip describes the doubloon on the mast as the ship's what?	Navel	45
 45	0.16171	What does Ahab see when he studies the gold doubloon nailed to the mast?	Himself	

76	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	1.00000	Who owns the Pequod?	Bildad and Peleg	
 36	0.57974	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
179	0.57974	With what is the Pequod adorned?	Sperm whale teeth	18
 18	0.57974	How is the Pequod decorated?	With whale bones	179
162	0.44944	Who is the second mate on the Pequod?	Stubb	
 17	0.44944	How does the Pequod sink?	She is rammed by Moby Dick. 	92
128	0.37998	Which characters survive the Pequod's sinking?	Only Ishmael	

77	What is the biblical subject of Father Mapple's sermon at the Whaleman's Chapel?	Jonah	
163	0.63481	Who is the subject of Father Mapple's sermon?	Jonah	
124	0.45027	Which biblical figure is the focus of Father Mapple's sermon?	Jonah	
142	0.41036	Who is Father Mapple?	The chaplain (in New Bedford) who gives a moving sermon based on the Biblical story of Jonah and the whale in the Whalemen's chapel.	
  5	0.06805	After his father's death, where was thirteen-year-old Herman Melville forced to find work?	At a bank	20

78	What is the famous first line of Moby Dick?	Call me Ishmael.	
149	0.57974	Who is Moby Dick?	A giant and elusive white sperm whale. He serves as Captain Ahab's antagonist in the novel. Ahab's goal in life is to kill Moby Dick for having bitten off his leg.	
 64	0.33610	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
125	0.26056	Which body part has Ahab lost to Moby Dick?	His leg	
107	0.23790	When Ahab realizes that Moby Dick is now chasing him, what does he say?	That's bad	
 43	0.23790	What does Ahab promise to the first man who spots Moby Dick?	A gold doubloon	
 19	0.23790	How many of the Pequod's crew survive their encounter with Moby Dick?	One	128
 65	0.20608	What happens to Ahab's fake leg during his fight with Moby Dick?	It's snapped off	

79	What is the name of Ahab's harpooner?	Fedallah	
 37	0.57974	What causes Ahab's harpoon to flicker with fire?	Atmospheric static	79
134	0.50233	Who is Ahab's personal harpooner and spiritual guide?	Fedallah	
105	0.46510	When Ahab has the blacksmith make a special harpoon for Moby Dick, what does Ahab give him for the metal?	Nails from racehorse shoes	
  7	0.33610	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 80	0.33610	What is the name of Ahab's ship?	The Pequod	
 81	0.33610	What is the name of Ahab's wife?	She is nameless	
137	0.33610	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	

80	What is the name of Ahab's ship?	The Pequod	
  7	1.00000	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
131	0.33610	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
137	0.33610	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
 79	0.33610	What is the name of Ahab's harpooner?	Fedallah	
 81	0.33610	What is the name of Ahab's wife?	She is nameless	
 87	0.33610	What is the name of the ship in the story?	The Pequod	
161	0.31800	Who is the only crewmate who opposes Ahab's plan to devote the ship's mission to hunt the White Whale?	Starbuck	

81	What is the name of Ahab's wife?	She is nameless	
  7	0.33610	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 79	0.33610	What is the name of Ahab's harpooner?	Fedallah	
 80	0.33610	What is the name of Ahab's ship?	The Pequod	
137	0.33610	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
131	0.33610	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
  9	0.27461	Because Pip's insane rantings move Ahab, Ahab gives Pip what?	The captain's quarters	63
103	0.27461	When Ahab and Starbuck talk about their families, how does Ahab see himself on his relentless quest?	A pathetic fool(Correct)	

82	What is the name of Ishmael's unlikely roommate and bedfellow?	Queequeg	
147	0.37998	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
  4	0.18436	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 64	0.14438	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
 92	0.14438	What keeps Ishmael afloat after the Pequod sinks?	A coffin	
 71	0.12736	What is Ishmael constantly trying to pin down throughout the novel?	The essence of whales	
 14	0.12736	How do live whales smell, according to Ishmael?	Pleasantly musky	2
180	0.12736	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22

83	What is the name of Queequeg's native island?	Kokovoko	
 30	1.00000	Queequeg is a native of what island?	Kokovoko	83
153	0.44944	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
100	0.35630	What was Queequeg on his home island?	A prince	
  4	0.21289	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 39	0.20199	What covers Queequeg's skin?	Tattoos	153
 16	0.20199	How does Queequeg shave?	With a harpoon	178
178	0.20199	With what does Queequeg sleep?	His harpoon	16

84	What is the name of the Second Mate?	Stubb	
162	0.70930	Who is the second mate on the Pequod?	Stubb	
 33	0.57974	The name of the First Mate is?	Starbuck	85
 85	0.57974	What is the name of the Third Mate?	Flask	
131	0.33610	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
 36	0.33610	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162

85	What is the name of the Third Mate?	Flask	
 33	1.00000	The name of the First Mate is?	Starbuck	85
 84	0.57974	What is the name of the Second Mate?	Stubb	
131	0.57974	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
 36	0.57974	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
162	0.44944	Who is the second mate on the Pequod?	Stubb	

86	What is the name of the inn Ishmael stays at on the mainland before the voyage?	The Spouter Inn	
147	0.30322	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 93	0.18443	What mainland city does Ishmael, the book's narrator, ship out from?	New Bedford	
 64	0.11522	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
 82	0.11522	What is the name of Ishmael's unlikely roommate and bedfellow?	Queequeg	
 28	0.11522	Over the course of the voyage, Ahab destroys all of what?	The navigation equipment	137
 92	0.11522	What keeps Ishmael afloat after the Pequod sinks?	A coffin	
 71	0.10163	What is Ishmael constantly trying to pin down throughout the novel?	The essence of whales	

87	What is the name of the ship in the story?	The Pequod	
 94	0.35548	What real ship, attacked and sunk by a sperm whale, inspired Melville's story?	The Essex	
  7	0.33610	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 80	0.33610	What is the name of Ahab's ship?	The Pequod	
159	0.26056	Who is telling the story in the novel?	Ishmael	71
 95	0.26056	What religion are the owners of the ship?	Quakers	
170	0.19431	Why are whaling ships always well-lit?	Free access to oil	
 88	0.19431	What is the ship that rescues Ishmael at the end of the novel?	Rachel	

88	What is the ship that rescues Ishmael at the end of the novel?	Rachel	
147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 71	0.25233	What is Ishmael constantly trying to pin down throughout the novel?	The essence of whales	
122	0.22576	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
 35	0.20614	To what does Ishmael liken the experience of shipping aboard a whaler?	Committing suicide	122
 93	0.20614	What mainland city does Ishmael, the book's narrator, ship out from?	New Bedford	
  7	0.19431	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 80	0.19431	What is the name of Ahab's ship?	The Pequod	

89	What is the source of Ahab's fatal flaw?	The damage he's suffered	
 67	0.60297	What is Ahab's single fatal flaw?	Hubris	
  7	0.22029	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 79	0.22029	What is the name of Ahab's harpooner?	Fedallah	
 80	0.22029	What is the name of Ahab's ship?	The Pequod	
 81	0.22029	What is the name of Ahab's wife?	She is nameless	
137	0.22029	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
131	0.22029	Who are Ahab's mates?	Starbuck, Stubbs, Flask	

90	What is the study of whales called?	Cetology	
 56	0.29122	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	
  0	0.26056	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
 12	0.26056	For what were whales primarily hunted?	Oil	98
 98	0.26056	What type of whale are they hunting?	Sperm whales	
 24	0.23790	Ishmael likens the right whale to a stoic philosopher and the sperm whale to what other kind of philosopher? 	Platonic	0
130	0.22029	Which was the first team to kill a whale?	Stubb and Tashtego	
 14	0.19431	How do live whales smell, according to Ishmael?	Pleasantly musky	2

91	What is the term for a whale that has already been harpooned or marked by the crew of a specific ship?	Fast-fish	
170	0.17857	Why are whaling ships always well-lit?	Free access to oil	
  0	0.17379	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
 40	0.15976	What do the crew find in an old, blind, growth-covered whale that they kill?	A stone harpoon head	59
 59	0.15976	What does the crew look for to indicate the presence of a whale?	Spouts	
122	0.15976	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
  6	0.14587	After the whale carcass is cut loose from the ship, who are the "mourners" at its "funeral?"	Sharks and vultures	0
119	0.14587	When the crew first hunt a whale, what nearly crushes Queequeg's boat?	The ship	

92	What keeps Ishmael afloat after the Pequod sinks?	A coffin	
 17	0.41121	How does the Pequod sink?	She is rammed by Moby Dick. 	92
147	0.37998	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 76	0.37998	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.37998	Who owns the Pequod?	Bildad and Peleg	
128	0.33610	Which characters survive the Pequod's sinking?	Only Ishmael	
179	0.22029	With what is the Pequod adorned?	Sperm whale teeth	18
 18	0.22029	How is the Pequod decorated?	With whale bones	179

93	What mainland city does Ishmael, the book's narrator, ship out from?	New Bedford	
122	0.30413	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
147	0.27894	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 35	0.27520	To what does Ishmael liken the experience of shipping aboard a whaler?	Committing suicide	122
